Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,co,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,40540.6734714258,3671.55080582595,3693.45072120319,3478.91045075861,3178.40363496057,3037.56521361311,3012.08516763499,2978.59208641968,3187.65390527743,3178.69739746408,3199.37237792721,3975.93524289814,3948.45646744282,40540.6734714258,1
ie,co,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,11632.404245428,1124.97081291764,1136.90586659909,1018.3086314566,852.197231594316,790.885887047456,802.818746441017,777.055218645956,870.17036752916,874.062837162057,888.820485375304,1251.97664639895,1244.23151426046,11632.404245428,1
sea,co,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0.0189970576068943,0.00172046135874073,0.0017307234959571,0.00163019152330737,0.00148937626785762,0.00142338043270001,0.00141144067295181,0.00139574606457984,0.00149371087562414,0.00148951392277875,0.00149920206461851,0.00186309363863558,0.00185021728914281,0.0189970576068943,1
ow,co,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,month,17216.72144319,1559.22588540562,1568.52629189604,1477.41581547066,1349.79726115569,1289.98631917555,1279.16551092529,1264.94174500892,1353.72564501522,1349.92201555089,1358.7022194545,1688.49117914594,1676.82155498573,17216.72144319,1
uk,co,grouped,2022,2024,sec02,B_Industry,3,Industry,month,225579.997715266,18033.3765061122,18575.197001209,19753.2525176065,18691.6610576661,18126.0391430912,19266.8172946963,18331.6667934014,18034.9054335104,18968.7118689172,19716.3388922872,19458.9201323958,18623.1110743727,225579.997715266,1
ie,co,grouped,2022,2024,sec02,B_Industry,3,Industry,month,8468.27233076237,681.401406986278,704.896087146025,737.564185853138,714.504431848975,700.177247175031,722.499835285946,693.367846808689,679.750720360895,706.302192221192,729.757713071985,710.987045209345,687.063618794876,8468.27233076237,1
sea,co,grouped,2022,2024,sec02,B_Industry,3,Industry,month,0.549517232987381,0.0439795862248265,0.0453350419114344,0.0480745099722463,0.0456777910228258,0.0443777949234399,0.0469255848751412,0.0447148935504392,0.0439640516625117,0.0461429417516097,0.0479121922663393,0.047182429585509,0.045230415241058,0.549517232987381,1
ow,co,grouped,2022,2024,sec02,B_Industry,3,Industry,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,250299.031780372,40144.6131486208,38778.1426752141,33716.3557450192,24717.3688306344,14101.5545552194,4829.23974413066,1429.18256077468,1439.49108384088,6059.97820010937,16535.6068121199,30475.8705674458,38071.6278572431,250299.031780372,1
ie,co,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,63824.7791594269,10244.5539406044,9884.12930672424,8585.60329975267,6277.28884167608,3580.42842254103,1237.44834538692,348.826692914398,390.842719132287,1627.68261116134,4268.49172568001,7712.72384333515,9666.75941051841,63824.7791594269,1
sea,co,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,1.93497851578498,0.310547099318607,0.299676830012095,0.260346296991164,0.190429550067637,0.108620848637768,0.0374872651111782,0.0106492918068119,0.0117365895835112,0.0489562359419906,0.129161773069223,0.23410371081041,0.29326302443458,1.93497851578498,1
ow,co,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,co,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sea,co,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ow,co,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,month,58.4899999999998,5.2775979188371,5.10907471105551,5.20321784094471,5.20908615731789,4.98131684504403,4.7309780107068,4.6286888233797,4.23426539018668,4.31676360983793,4.8527851904044,4.83371428127296,5.11251122101211,58.4899999999998,1
uk,co,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,1769.75860530881,147.546948076212,147.517797141356,147.475692346231,147.425906267508,147.39621093439,147.395466290272,147.41558785594,147.450706160813,147.492470354177,147.529510935132,147.553754233136,147.558554713642,1769.75860530881,1
ie,co,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,159.10379433305,13.2739816673953,13.2658773620356,13.2551408231806,13.2423302443166,13.2345325751833,13.2346829306361,13.2415224299841,13.2541391857946,13.267620934365,13.2764839315028,13.279319849517,13.2781623991386,159.10379433305,1
sea,co,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,0.00109456176901547,9.12549587354302e-05,9.12369294410826e-05,9.12108884324966e-05,9.11800966972658e-05,9.11617307030253e-05,9.11612701549141e-05,9.1173714957525e-05,9.11954349558296e-05,9.12212653087556e-05,9.12441741979663e-05,9.12591682130104e-05,9.12621372181726e-05,0.00109456176901547,1
ow,co,grouped,2022,2024,sec05,E_Solvents,6,Solvents,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,207840.160277826,16063.742067252,16478.8773790828,16789.234603317,16878.122735035,17341.3285649831,18134.7850147841,18214.6468414249,18241.7911130695,18194.034107658,17846.524606684,17256.7229669901,16400.3502775454,207840.160277826,1
ie,co,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,17325.0027156239,1339.19238800988,1373.97301682473,1399.68711843973,1406.40373982493,1444.8259855376,1511.45339993034,1518.16881737929,1520.65362188824,1516.25638853698,1487.01959247886,1439.44543031684,1367.92321645652,17325.0027156239,1
sea,co,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0.384170893307517,0.0296921544497875,0.0304594888445272,0.0310331518551761,0.0311974523104918,0.0320536400522563,0.0335202616749174,0.0336678779452303,0.0337180513047582,0.0336297774533238,0.0329874423278904,0.0318972554145795,0.0303143396745784,0.384170893307517,1
ow,co,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,co,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,81.6380007067837,2.91416396932228,3.21675982436069,3.24377709938761,6.37188876499136,10.7948323248937,13.7663335540893,14.2561157681291,10.4206604773291,6.59624359434439,5.02034425228005,2.79753410208059,2.23934697557547,81.6380007067837,1
sea,co,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,187.577951609319,6.69581448941273,7.3910827488283,7.4531597848132,14.6405574863643,24.8030637440799,31.6306208737441,32.755983372199,23.9433368018673,15.156052953663,11.5351415157582,6.42783644727223,5.14530139131719,187.577951609319,1
ow,co,grouped,2022,2024,sec07,G_Shipping,8,Shipping,month,96.8151523330945,3.45593015716894,3.81478098089414,3.84682098156422,7.55647340811124,12.8016772446262,16.325604112897,16.9064407239333,12.357943883849,7.82253757911511,5.95366605430204,3.31761787286699,2.65565933376638,96.8151523330945,1
uk,co,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,co,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,971.309955088903,70.6637258077765,71.7460485584055,73.2040784711378,73.859494770041,76.8968552134447,84.8312837191213,93.5716793951016,98.9780645237127,96.8904615760429,87.0320381476661,73.9371402513349,69.699084655118,971.309955088903,1
sea,co,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0.00461587909694386,0.000335809607591671,0.00034095304397323,0.000347881923638923,0.000350996606421749,0.000365430813038428,0.000403136966973808,0.000444673254631935,0.000470365588962947,0.000460444839403673,0.000413595437322028,0.000351365594871007,0.00033122542011446,0.00461587909694386,1
ow,co,grouped,2022,2024,sec08,H_Aviation,8,Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,grouped,2022,2024,sec09,I_Offroad,8,Offroad,month,453389.705972365,32275.7685680098,33233.1004821022,35098.429680337,37944.0283943178,40685.4031797774,42593.2651051253,42877.6317066547,40696.0768743872,39108.4694678542,38798.8769243295,36492.2811442995,33586.3744451702,453389.705972365,1
ie,co,grouped,2022,2024,sec09,I_Offroad,8,Offroad,month,1927.62228574077,144.34098491827,148.016761457721,155.960436517332,162.224685108753,165.331499363209,167.35332882166,167.384530156037,165.116904542157,166.719640313748,169.979823856501,163.73072099752,151.462969687867,1927.62228574077,1
